KATEGORI,KANA,KANJI,ARTI
ANGKA RATUSAN (~HYAKU),さんびゃく,三百,300
ANGKA RATUSAN (~HYAKU),よんひゃく,四百,400
ANGKA RATUSAN (~HYAKU),ごひゃく,五百,500
ANGKA RATUSAN (~HYAKU),ろっぴゃく,六百,600
ANGKA RATUSAN (~HYAKU),ななひゃく,七百,700
ANGKA RATUSAN (~HYAKU),はっぴゃく,八百,800
ANGKA RATUSAN (~HYAKU),きゅうひゃく,九百,900
ANGKA RIBUAN (~SEN),せん,千,1000
ANGKA RIBUAN (~SEN),にせん,二千,2000
ANGKA RIBUAN (~SEN),さんぜん,三千,3000
ANGKA RIBUAN (~SEN),よんせん,四千,4000
ANGKA RIBUAN (~SEN),ごせん,五千,5000
ANGKA RIBUAN (~SEN),ろくせん,六千,6000
ANGKA RIBUAN (~SEN),ななせん,七千,7000
ANGKA RIBUAN (~SEN),はっせん,八千,8000
ANGKA RIBUAN (~SEN),きゅうせん,九千,9000
ANGKA PULUHAN RIBU & BESAR,まん,万,10000
ANGKA PULUHAN RIBU & BESAR,いちまん,一万,10000
ANGKA PULUHAN RIBU & BESAR,おく,億,100000000
SATUAN BENDA UMUM (~TSU),ひとつ,一つ,1つ
SATUAN BENDA UMUM (~TSU),ふたつ,二つ,2つ
SATUAN BENDA UMUM (~TSU),みっつ,三つ,3つ
SATUAN BENDA UMUM (~TSU),よっつ,四つ,4つ
SATUAN BENDA UMUM (~TSU),いつつ,五つ,5つ
SATUAN BENDA UMUM (~TSU),むっつ,六つ,6つ
SATUAN BENDA UMUM (~TSU),ななつ,七つ,7つ
SATUAN BENDA UMUM (~TSU),やっつ,八つ,8つ
SATUAN BENDA UMUM (~TSU),ここのつ,九つ,9つ
SATUAN BENDA UMUM (~TSU),とお,十,10つ
SATUAN TINGKAT / LANTAI (~KAI),いっかい,一階,Lantai 1
SATUAN TINGKAT / LANTAI (~KAI),にかい,二階,Lantai 2
SATUAN TINGKAT / LANTAI (~KAI),さんがい,三階,Lantai 3
SATUAN TINGKAT / LANTAI (~KAI),よんかい,四階,Lantai 4
SATUAN TINGKAT / LANTAI (~KAI),ごかい,五階,Lantai 5
SATUAN TINGKAT / LANTAI (~KAI),ろっかい,六階,Lantai 6
SATUAN TINGKAT / LANTAI (~KAI),ななかい,七階,Lantai 7
SATUAN TINGKAT / LANTAI (~KAI),はっかい,八階,Lantai 8
SATUAN TINGKAT / LANTAI (~KAI),きゅうかい,九階,Lantai 9
SATUAN TINGKAT / LANTAI (~KAI),じゅっかい,十階,Lantai 10
ANGKA PECAHAN & DESIMAL,にてんご,二点五,2.5
ANGKA PECAHAN & DESIMAL,さんぶんのに,三分の二,2 / 3 (Dua pertiga)
KATA TANYA (GIMONSHI),なんがい？,何階？,Lantai berapa?
KATA TANYA (GIMONSHI),いくつ？,幾つ？,Berapa banyak?
ARAH & POSISI SPASIAL,ひがし,東,Timur
ARAH & POSISI SPASIAL,にし,西,Barat
ARAH & POSISI SPASIAL,きた,北,Utara
ARAH & POSISI SPASIAL,みなみ,南,Selatan
PARTIKEL & UNGKAPAN SALAM,〜ていしょく,〜定食,Menu paket ~
PARTIKEL & UNGKAPAN SALAM,〜えん,〜円,〜円
KOSAKATA SERAPAN (KATAKANA),カレー(ライス),,Kare
KOSAKATA SERAPAN (KATAKANA),ホチキス,,Stapler
KOSAKATA SERAPAN (KATAKANA),ペンチ,,Tang
KOSAKATA SERAPAN (KATAKANA),テスト,,Tes
KOSAKATA SERAPAN (KATAKANA),プレゼント,,Hadiah
KOSAKATA SERAPAN (KATAKANA),スパナ,,Kuncing pas / kunci pas
KOSAKATA SERAPAN (KATAKANA),スタッフ,,Staff
KOSAKATA SERAPAN (KATAKANA),ハンバーガー,,Hamburger
KOSAKATA SERAPAN (KATAKANA),ドライバー,,Obeng
BANGUNAN & RUANGAN,とけい,時計,Jam dinding
BANGUNAN & RUANGAN,おてあらい,お手洗い,Toilet
BANGUNAN & RUANGAN,いえ,家,Rumah
BANGUNAN & RUANGAN,ごみばこ,ゴミ箱,Tempat sampah
BANGUNAN & RUANGAN,うち,家,Rumah
BANGUNAN & RUANGAN,きょうしつ,教室,Ruang kelas
BANGUNAN & RUANGAN,かいぎしつ,会議室,Ruang rapat
BANGUNAN & RUANGAN,へや,部屋,Kamar
BANGUNAN & RUANGAN,じむしょ,事務所,Ruang kantor
BANGUNAN & RUANGAN,だいどころ,台所,Dapur
BANGUNAN & RUANGAN,げんかん,玄関,Teras rumah
BANGUNAN & RUANGAN,クラス,,Ruang kelas
BANGUNAN & RUANGAN,キッチン,,Dapur
ALAM & LINGKUNGAN,せんぷうき,扇風機,Kipas angin
