KATEGORI,KANA,KANJI,ARTI
KONSEP ABSTRAK & IDENTITAS,ほんとう,本当,Benar-benar
"""WAKTU (JAM, MENIT, DETIK)""",いっぷん,一分,1 menit
"""WAKTU (JAM, MENIT, DETIK)""",にふん,二分,2 menit
"""WAKTU (JAM, MENIT, DETIK)""",さんぷん,三分,3 menit
"""WAKTU (JAM, MENIT, DETIK)""",よんぷん,四分,4 menit
"""WAKTU (JAM, MENIT, DETIK)""",ごふん,五分,5 menit
"""WAKTU (JAM, MENIT, DETIK)""",ろっぷん,六分,6 menit
"""WAKTU (JAM, MENIT, DETIK)""",ななふん,七分,7 menit
"""WAKTU (JAM, MENIT, DETIK)""",はっぷん,八分,8 menit
"""WAKTU (JAM, MENIT, DETIK)""",きゅうふん,九分,9 menit
"""WAKTU (JAM, MENIT, DETIK)""",じゅっぷん,十分,10 menit
"""WAKTU (JAM, MENIT, DETIK)""",さんじゅっぷん,三十分,30 menit
WAKTU & PENANGGALAN (HARI),いっしゅうかん,一週間,1 minggu
WAKTU & PENANGGALAN (HARI),にしゅうかん,二週間,2 minggu
WAKTU & PENANGGALAN (HARI),さんしゅうかん,三週間,3 minggu
WAKTU & PENANGGALAN (HARI),よんしゅうかん,四週間,4 minggu
WAKTU & PENANGGALAN (HARI),ごしゅうかん,五週間,5 minggu
WAKTU & PENANGGALAN (HARI),ろくしゅうかん,六週間,6 minggu
WAKTU & PENANGGALAN (HARI),ななしゅうかん,七週間,7 minggu
WAKTU & PENANGGALAN (HARI),はっしゅうかん,八週間,8 minggu
WAKTU & PENANGGALAN (HARI),きゅうしゅうかん,九週間,9 minggu
WAKTU & PENANGGALAN (HARI),じゅっしゅうかん,十週間,10 minggu
WAKTU & PENANGGALAN (HARI),なんしゅうかん？,何週間？,Berapa minggu?
WAKTU & PENANGGALAN (TANGGAL),いつか,何時か,Suatu saat
KETERANGAN WAKTU (SEKARANG & MASA DEPAN),しょうらい,将来,Masa depan
KETERANGAN WAKTU (SEKARANG & MASA DEPAN),みらい,未来,Masa depan
ANGKA DASAR (1 - 10),いちねん(かん),一年(間),1 tahun
ANGKA DASAR (1 - 10),にねん(かん),二年(間),2 tahun
ANGKA DASAR (1 - 10),さんねん(かん),三年(間),3 tahun
ANGKA DASAR (1 - 10),よねん(かん),四年(間),4 tahun
ANGKA DASAR (1 - 10),ごねん(かん),五年(間),5 tahun
ANGKA DASAR (1 - 10),ろくねん(かん),六年(間),6 tahun
ANGKA DASAR (1 - 10),ななねん(かん),七年(間),7 tahun
ANGKA DASAR (1 - 10),はちねん(かん),八年(間),8 tahun
ANGKA DASAR (1 - 10),きゅうねん(かん),九年(間),9 tahun
ANGKA DASAR (1 - 10),じゅうねん(かん),十年(間),10 tahun
KATA TANYA (GIMONSHI),なにか,何か,Sesuatu
KATA TANYA (GIMONSHI),どこでも,何処でも,Dimanapun
KATA TANYA (GIMONSHI),いつでも,何時でも,Kapanpun
KATA TANYA (GIMONSHI),なんでも,何でも,Apapun
KATA TANYA (GIMONSHI),なんねん(かん)？,何年(間)？,Berapa tahun?
ARAH & POSISI SPASIAL,かど,角,Pojok
KATA KETERANGAN (FUKUSHI) & SAMBUNG,ぐらい,位,Kira-kira
KATA KETERANGAN (FUKUSHI) & SAMBUNG,どのく,何の位？ / どの位？,Seberapa?
PARTIKEL & UNGKAPAN SALAM,きんえん,禁煙,Dilarang merokok
KOSAKATA SERAPAN (KATAKANA),クレジットカード,,Kartu kredit
KOSAKATA SERAPAN (KATAKANA),キャッシュカード,,Kartu ATM
ALAM & LINGKUNGAN,いっかげつ,一ヶ月,1 bulan
ALAM & LINGKUNGAN,にかげつ,二ヶ月,2 bulan
ALAM & LINGKUNGAN,さんかげつ,三ヶ月,3 bulan
ALAM & LINGKUNGAN,よんかげつ,四ヶ月,4 bulan
ALAM & LINGKUNGAN,ごかげつ,五ヶ月,5 bulan
ALAM & LINGKUNGAN,ろっかげつ,六ヶ月,6 bulan
ALAM & LINGKUNGAN,ななかげつ,七ヶ月,7 bulan
ALAM & LINGKUNGAN,はちかげつ,八ヶ月,8 bulan
ALAM & LINGKUNGAN,きゅうかげつ,九ヶ月,9 bulan
ALAM & LINGKUNGAN,じゅっかげつ,十ヶ月,10 bulan
ALAM & LINGKUNGAN,いけばな,生け花,Seni merangkai bunga
ALAM & LINGKUNGAN,なんかげつ？,何ヶ月？,Berapa bulan?
BANGUNAN & RUANGAN,どこか,何処か,Suatu tempat
BANGUNAN & RUANGAN,うりば,売り場,Tempat jualan
